model,family,condition,display_name,locked_best_coef,delta_logit_mean,delta_logit_std,delta_logit_ci95_lo,delta_logit_ci95_hi,delta_rate_mean_pp,delta_rate_std_pp,delta_rate_ci95_lo_pp,delta_rate_ci95_hi_pp,per_seed_delta_logit,per_seed_wilcoxon_p_holm_adj,n_significant_after_holm_seeds,n_seeds,degraded_any_seed,degraded_all_seeds
gemma-2-27b-it,caa,caa,CAA (targeted),-2000.0,-0.8795,0.0006,-0.881,-0.878,-8.889,0.192,-9.367,-8.411,-0.8789;-0.8801;-0.8795,3.261e-23;2.942e-22;1.449e-22,3,3,False,False
gemma-2-27b-it,critical,skeptic,Skeptic,2000.0,-0.7108,0.0134,-0.744,-0.6776,-9.556,0.385,-10.512,-8.599,-0.7192;-0.7179;-0.6954,3.441e-21;9.005e-20;2.347e-20,3,3,False,False
gemma-2-27b-it,critical,devils_advocate,Devil's Advocate,2000.0,-0.5207,0.016,-0.5604,-0.481,-8.667,0.882,-10.857,-6.476,-0.5367;-0.5207;-0.5047,2.314e-17;1.705e-15;1.254e-15,3,3,False,False
gemma-2-27b-it,critical,judge,Judge,2000.0,-0.5564,0.0031,-0.5642,-0.5487,-9.333,0.577,-10.768,-7.899,-0.5590;-0.5530;-0.5573,7.623e-21;1.593e-19;2.347e-20,3,3,False,False
gemma-2-27b-it,conformist,peacekeeper,Peacekeeper,2000.0,-0.0516,0.0043,-0.0623,-0.0409,1.778,1.644,-2.307,5.862,-0.0506;-0.0563;-0.0479,1.000e+00;1.000e+00;1.000e+00,0,3,False,False
gemma-2-27b-it,conformist,pacifist,Pacifist,2000.0,0.0999,0.0014,0.0965,0.1034,0.333,1.764,-4.048,4.715,+0.1001;+0.1012;+0.0985,5.437e-02;3.452e-02;3.607e-01,1,3,False,False
gemma-2-27b-it,conformist,collaborator,Collaborator,500.0,0.0451,0.0058,0.0306,0.0596,1.667,1.453,-1.943,5.276,+0.0493;+0.0476;+0.0384,1.891e-03;1.298e-02;6.552e-01,2,3,False,False
gemma-2-27b-it,null_control,random,Random (n=10),,-0.2544,0.0057,-0.2685,-0.2403,-2.071,0.762,-3.963,-0.179,-0.2598;-0.2550;-0.2484,,,3,False,False
qwen3-32b,caa,caa,CAA (targeted),-200.0,-1.9651,0.1262,-2.2785,-1.6516,-20.889,2.009,-25.88,-15.898,-1.9935;-1.8271;-2.0746,3.424e-15;5.838e-14;1.769e-17,3,3,False,False
qwen3-32b,critical,skeptic,Skeptic,200.0,-1.8231,0.0582,-1.9676,-1.6786,-18.111,1.575,-22.024,-14.198,-1.7804;-1.7996;-1.8894,3.653e-17;2.769e-18;1.570e-20,3,3,False,False
qwen3-32b,critical,devils_advocate,Devil's Advocate,200.0,-2.2721,0.1954,-2.7576,-1.7866,-16.556,1.575,-20.469,-12.642,-2.2192;-2.1085;-2.4885,2.600e-18;2.346e-17;1.504e-20,3,3,False,False
qwen3-32b,critical,judge,Judge,200.0,-1.6989,0.075,-1.8853,-1.5125,-4.444,1.072,-7.106,-1.783,-1.7229;-1.6148;-1.7590,7.651e-16;2.581e-15;3.584e-18,3,3,False,False
qwen3-32b,conformist,peacekeeper,Peacekeeper,-200.0,-0.7091,0.1085,-0.9787,-0.4395,0.111,0.192,-0.367,0.589,-0.7883;-0.5854;-0.7535,1.000e+00;1.000e+00;1.000e+00,0,3,False,False
qwen3-32b,conformist,collaborator,Collaborator,-100.0,-0.0294,0.0164,-0.07,0.0113,-1.667,0.667,-3.323,-0.011,-0.0408;-0.0106;-0.0367,1.000e+00;1.000e+00;1.000e+00,0,3,False,False
qwen3-32b,null_control,random,Random (n=10),,-1.0581,0.077,-1.2493,-0.8669,-10.287,1.127,-13.087,-7.488,-1.0756;-0.9739;-1.1248,,,3,False,False
